0:一	-1:一
3:人間が	4:所有権という
4:所有権という	5:事を
5:事を	6:解していないと
6:解していないと	7:いって
7:いって	9:憤慨している
8:大に	9:憤慨している
9:憤慨している	-1:憤慨している

0:元来	16:なっている
1:我々	2:同族間では
2:同族間では	16:なっている
3:目刺の	4:頭でも
4:頭でも	6:臍でも
5:鰡の	6:臍でも
6:臍でも	9:見付けた
7:一番	8:先に
8:先に	9:見付けた
9:見付けた	10:ものが
10:ものが	12:食う
11:これを	12:食う
12:食う	13:権利が
13:権利が	14:ある
14:ある	15:ものと
15:ものと	16:なっている
16:なっている	-1:なっている

0:もし	4:守らなければ
1:相手が	4:守らなければ
2:この	3:規約を
3:規約を	4:守らなければ
4:守らなければ	7:善いくらいの
5:腕力に	6:訴えて
6:訴えて	7:善いくらいの
7:善いくらいの	8:ものだ
8:ものだ	-1:ものだ

0:しかるに	5:ないと
1:彼等人間は	5:ないと
2:毫も	5:ないと
3:この	4:観念が
4:観念が	5:ないと
5:ないと	6:見えて
6:見えて	8:見付けた
7:我等が	8:見付けた
8:見付けた	9:御馳走は
9:御馳走は	13:掠奪せらるるのである
10:必ず	13:掠奪せらるるのである
11:彼等の	12:ために
12:ために	13:掠奪せらるるのである
13:掠奪せらるるのである	-1:掠奪せらるるのである

0:彼等は	9:すましている
1:その	2:強力を
2:強力を	3:頼んで
3:頼んで	6:食い得べき
4:正当に	6:食い得べき
5:吾人が	6:食い得べき
6:食い得べき	7:ものを
7:ものを	8:奪って
8:奪って	9:すましている
9:すましている	-1:すましている

0:白君は	7:持っている
1:軍人の	2:家に
2:家に	3:おり
3:おり	7:持っている
4:三毛君は	7:持っている
5:代言の	6:主人を
6:主人を	7:持っている
7:持っている	-1:持っている

0:吾輩は	8:楽天である
1:教師の	2:家に
2:家に	3:住んでいるだけ
3:住んでいるだけ	8:楽天である
4:こんな	5:事に関すると
5:事に関すると	6:両君よりも
6:両君よりも	8:楽天である
7:むしろ	8:楽天である
8:楽天である	-1:楽天である

0:ただ	6:送られればよい
1:その日	6:送られればよい
2:その	3:日が
3:日が	6:送られればよい
4:どうにか	6:送られればよい
5:こうにか	6:送られればよい
6:送られればよい	-1:送られればよい

0:いくら	6:あるまい
1:人間だって	6:あるまい
2:そう	4:栄える
3:いつまでも	4:栄える
4:栄える	5:事も
5:事も	6:あるまい
6:あるまい	-1:あるまい

0:まあ	5:待つが
1:気を	5:待つが
2:永く	5:待つが
3:猫の	4:時節を
4:時節を	5:待つが
5:待つが	6:よかろう
6:よかろう	-1:よかろう

0:我儘で	1:思い出したから
1:思い出したから	8:失敗した
2:ちょっと	8:失敗した
3:吾輩の	4:家の
4:家の	5:主人が
5:主人が	8:失敗した
6:この	7:我儘で
7:我儘で	8:失敗した
8:失敗した	9:話を
9:話を	10:しよう
10:しよう	-1:しよう

0:元来	8:ないが
1:この	2:主人は
2:主人は	8:ないが
3:何といって	5:勝れて
4:人に	5:勝れて
5:勝れて	6:出来る
6:出来る	7:事も
7:事も	8:ないが
8:ないが	12:出したがる
9:何にでも	12:出したがる
10:よく	12:出したがる
11:手を	12:出したがる
